H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (b) g_HH(r)

 Bin no.        r             g(r)        std.
    133  3.929997      1.147139     0.6955652E-01
    134  3.959997      1.138834     0.6894887E-01
    135  3.989997      1.129205     0.6861351E-01
    136  4.019997      1.120375     0.6706984E-01
    137  4.049997      1.109935     0.6634429E-01
    138  4.079998      1.101244     0.6567791E-01
    139  4.109998      1.091575     0.6471615E-01
    140  4.139998      1.083888     0.6433001E-01
    141  4.169998      1.074754     0.6390052E-01
    142  4.199998      1.066756     0.6339011E-01
    143  4.229999      1.060575     0.6211832E-01
    144  4.259999      1.053990     0.6136629E-01
    145  4.289999      1.046909     0.6046215E-01
    146  4.319999      1.039515     0.5983986E-01
    147  4.349999      1.033324     0.5945113E-01
    148  4.380000      1.025779     0.5969026E-01
    149  4.410000      1.020473     0.5858154E-01
    150  4.440000      1.014246     0.5724148E-01
    151  4.470000      1.008676     0.5692405E-01
    152  4.500000      1.003621     0.5751779E-01
    153  4.530001     0.9972845     0.5548871E-01
    154  4.560001     0.9923058     0.5695074E-01
    155  4.590001     0.9876263     0.5523678E-01
    156  4.620001     0.9830828     0.5537312E-01
    157  4.650002     0.9774433     0.5445759E-01
    158  4.680002     0.9738081     0.5422011E-01
    159  4.710002     0.9696982     0.5361319E-01
    160  4.740002     0.9656724     0.5308978E-01
    161  4.770002     0.9617519     0.5264670E-01
    162  4.800003     0.9588834     0.5266199E-01
    163  4.830003     0.9560559     0.5192625E-01
    164  4.860003     0.9523076     0.5166272E-01
    165  4.890003     0.9503894     0.5051292E-01
    166  4.920003     0.9470458     0.5040189E-01
    167  4.950004     0.9450021     0.4996301E-01
    168  4.980004     0.9441744     0.5031133E-01
    169  5.010004     0.9415208     0.4981366E-01
    170  5.040004     0.9399375     0.4917176E-01
    171  5.070004     0.9392884     0.4874871E-01
    172  5.100005     0.9385980     0.4837251E-01
    173  5.130005     0.9384104     0.4806409E-01
    174  5.160005     0.9381754     0.4817990E-01
    175  5.190005     0.9378251     0.4760680E-01
    176  5.220006     0.9385604     0.4725241E-01
    177  5.250006     0.9388165     0.4749335E-01
    178  5.280006     0.9395169     0.4668069E-01
    179  5.310006     0.9403239     0.4655346E-01
    180  5.340006     0.9405051     0.4711661E-01
    181  5.370007     0.9430553     0.4606112E-01
    182  5.400007     0.9436844     0.4604559E-01
    183  5.430007     0.9455848     0.4574494E-01
    184  5.460007     0.9480916     0.4550915E-01
    185  5.490007     0.9495422     0.4545476E-01
    186  5.520008     0.9520271     0.4516536E-01
    187  5.550008     0.9546982     0.4518910E-01
    188  5.580008     0.9582258     0.4505436E-01
    189  5.610008     0.9606134     0.4470507E-01
    190  5.640008     0.9640061     0.4473640E-01
    191  5.670009     0.9663588     0.4408885E-01
    192  5.700009     0.9698121     0.4407803E-01
    193  5.730009     0.9725759     0.4420226E-01
    194  5.760009     0.9765280     0.4390189E-01
    195  5.790009     0.9800647     0.4348308E-01
    196  5.820010     0.9834002     0.4352693E-01
    197  5.850010     0.9879670     0.4331140E-01
    198  5.880010     0.9907206     0.4302905E-01
    199  5.910010     0.9934449     0.4259187E-01
    200  5.940011     0.9974418     0.4361789E-01
    201  5.970011     0.9999507     0.4580744E-01
    202  6.000011      1.003450     0.4003311E-01
    203  6.030011      1.006673     0.4205034E-01
    204  6.060011      1.008396     0.4216642E-01
    205  6.090012      1.011093     0.4232162E-01
    206  6.120012      1.013065     0.4236807E-01
    207  6.150012      1.015430     0.4114476E-01
    208  6.180012      1.017344     0.4145936E-01
    209  6.210012      1.018575     0.4136581E-01
    210  6.240013      1.020577     0.4208010E-01
    211  6.270013      1.020769     0.4152114E-01
    212  6.300013      1.021719     0.4101127E-01
    213  6.330013      1.021914     0.4047436E-01
    214  6.360013      1.022872     0.4073565E-01
    215  6.390014      1.022846     0.4004055E-01
    216  6.420014      1.023219     0.4037262E-01
    217  6.450014      1.022885     0.4002715E-01
    218  6.480014      1.023556     0.4005097E-01
    219  6.510015      1.023055     0.3984058E-01
    220  6.540015      1.023166     0.3905029E-01
    221  6.570015      1.022509     0.3909605E-01
    222  6.600015      1.021634     0.3848295E-01
    223  6.630015      1.021062     0.3906860E-01
    224  6.660016      1.021272     0.3855876E-01
    225  6.690016      1.020691     0.3868069E-01
    226  6.720016      1.020117     0.3796681E-01
    227  6.750016      1.019652     0.3783313E-01
    228  6.780016      1.019183     0.3766735E-01
    229  6.810017      1.018076     0.3779373E-01
    230  6.840017      1.017638     0.3755641E-01
    231  6.870017      1.017461     0.3695002E-01
    232  6.900017      1.016817     0.3752625E-01
    233  6.930017      1.016234     0.3691774E-01
    234  6.960018      1.014880     0.3771005E-01
    235  6.990018      1.015042     0.3764677E-01
    236  7.020018      1.014244     0.3565624E-01
    237  7.050018      1.013267     0.3645961E-01
    238  7.080019      1.012751     0.3597576E-01
    239  7.110019      1.010967     0.3591938E-01
    240  7.140019      1.010780     0.3605024E-01
    241  7.170019      1.009815     0.3541638E-01
    242  7.200019      1.009246     0.3626783E-01
    243  7.230020      1.008321     0.3486171E-01
    244  7.260020      1.007648     0.3607999E-01
    245  7.290020      1.006881     0.3510026E-01
    246  7.320020      1.005330     0.3631381E-01
    247  7.350020      1.005355     0.3517998E-01
    248  7.380021      1.004269     0.3362589E-01
    249  7.410021      1.003573     0.3562111E-01
    250  7.440021      1.003190     0.3190872E-01
    251  7.470021      1.003114     0.3293999E-01
    252  7.500021      1.002162     0.3525445E-01
    253  7.530022      1.001551     0.2912957E-01
    254  7.560022      1.001545     0.3101643E-01
    255  7.590022      1.000913     0.2936191E-01
    256  7.620022      1.001477     0.2787483E-01
    257  7.650023      1.000115     0.3760558E-01
    258  7.680023     0.9998028     0.3940962E-01
    259  7.710023     0.9990351     0.3935741E-01
    260  7.740023     0.9991275     0.3494624E-01
    261  7.770023     0.9992080     0.3359396E-01
    262  7.800024     0.9988822     0.2992391E-01
    263  7.830024     0.9989004     0.2924903E-01
    264  7.860024     0.9984678     0.3018175E-01
    265  7.890024     0.9982188     0.3007392E-01
    266  7.920024     0.9983760     0.2912343E-01
    267  7.950025     0.9975141     0.3957338E-01
    268  7.980025     0.9975945     0.3453274E-01
    269  8.010024     0.9976329     0.3349535E-01
    270  8.040024     0.9971117     0.2958638E-01
    271  8.070024     0.9971970     0.2862490E-01
    272  8.100023     0.9968891     0.2896129E-01
    273  8.130023     0.9961203     0.3483263E-01
    274  8.160023     0.9957650     0.3197031E-01
    275  8.190022     0.9959517     0.3338216E-01
    276  8.220022     0.9955394     0.2974611E-01
    277  8.250022     0.9946601     0.3278582E-01
    278  8.280022     0.9941073     0.3253397E-01
    279  8.310021     0.9944994     0.3329724E-01
    280  8.340021     0.9932846     0.3022713E-01
    281  8.370021     0.9930640     0.3147237E-01
    282  8.400021     0.9930886     0.2996870E-01
    283  8.430020     0.9925072     0.3146858E-01
    284  8.460020     0.9920110     0.3059852E-01
    285  8.490020     0.9915112     0.3083719E-01
    286  8.520020     0.9911751     0.3019162E-01
    287  8.550019     0.9912198     0.3023896E-01
    288  8.580019     0.9910481     0.3037761E-01
    289  8.610019     0.9906188     0.2976314E-01
    290  8.640018     0.9910342     0.3017681E-01
    291  8.670018     0.9903033     0.2964374E-01
    292  8.700018     0.9909837     0.2964575E-01
    293  8.730018     0.9909382     0.2991495E-01
    294  8.760017     0.9910200     0.2933652E-01
    295  8.790017     0.9908397     0.2929891E-01
    296  8.820017     0.9909179     0.2905479E-01
    297  8.850017     0.9911097     0.2944502E-01
    298  8.880016     0.9914212     0.2802517E-01
    299  8.910016     0.9916049     0.2864364E-01
    300  8.940016     0.9917051     0.2946525E-01
    301  8.970016     0.9927245     0.2795384E-01
    302  9.000015     0.9929470     0.2926329E-01
    303  9.030015     0.9929434     0.2872364E-01
    304  9.060015     0.9936895     0.2824128E-01
    305  9.090014     0.9943727     0.2937104E-01
    306  9.120014     0.9942885     0.2981816E-01
    307  9.150014     0.9955165     0.2853522E-01
    308  9.180014     0.9956009     0.2891804E-01
    309  9.210013     0.9962655     0.3030099E-01
    310  9.240013     0.9973140     0.2631854E-01
    311  9.270013     0.9978480     0.3087872E-01
    312  9.300013     0.9981489     0.3273670E-01
    313  9.330012     0.9986044     0.3054003E-01
    314  9.360012     0.9997452     0.2951275E-01
    315  9.390012      1.000196     0.3462324E-01
    316  9.420012      1.000641     0.2899420E-01
    317  9.450011      1.001481     0.2059482E-01
    318  9.480011      1.001743     0.1577307E-01
    319  9.510011      1.001877     0.3245693E-01
    320  9.540010      1.003194     0.2173263E-01
    321  9.570010      1.003190     0.2107260E-01
    322  9.600010      1.003329     0.2460860E-01
    323  9.630010      1.004419     0.2409706E-01
    324  9.660009      1.004542     0.2480161E-01
    325  9.690009      1.005171     0.2515478E-01
    326  9.720009      1.005607     0.2750458E-01
    327  9.750009      1.005468     0.2742646E-01
    328  9.780008      1.006115     0.2620165E-01
    329  9.810008      1.006367     0.2592953E-01
    330  9.840008      1.006284     0.2495256E-01
    331  9.870008      1.006905     0.2487840E-01
    332  9.900007      1.006980     0.2531775E-01
    333  9.930007      1.007169     0.2631741E-01
    334  9.960007      1.007186     0.2611962E-01
    335  9.990006      1.007313     0.2726298E-01
    336  10.02001      1.007277     0.2630155E-01
    337  10.05001      1.007317     0.2623802E-01
    338  10.08001      1.007072     0.2518793E-01
    339  10.11001      1.006937     0.2586278E-01
    340  10.14001      1.006818     0.2391083E-01
    341  10.17000      1.006752     0.2430885E-01
    342  10.20000      1.006364     0.2491670E-01
    343  10.23000      1.005880     0.2411190E-01
    344  10.26000      1.006170     0.2315607E-01
    345  10.29000      1.005305     0.2585586E-01
    346  10.32000      1.005376     0.2607394E-01
    347  10.35000      1.005090     0.2461829E-01
    348  10.38000      1.005039     0.2363251E-01
    349  10.41000      1.004162     0.2150656E-01
    350  10.44000      1.003851     0.2508597E-01
    351  10.47000      1.003232     0.2323316E-01
    352  10.50000      1.003206     0.2247951E-01
    353  10.53000      1.002929     0.1934111E-01
    354  10.56000      1.002154     0.2555209E-01
    355  10.59000      1.001682     0.2663484E-01
    356  10.62000      1.001634     0.1845483E-01
    357  10.65000      1.001400     0.2199977E-01
    358  10.68000      1.000465     0.3188256E-01
    359  10.71000     0.9998757     0.2640333E-01
    360  10.74000     0.9998443     0.2695958E-01
    361  10.77000     0.9998610     0.2565685E-01
    362  10.80000     0.9996716     0.2603276E-01
    363  10.83000     0.9992442     0.2475230E-01
    364  10.86000     0.9992855     0.2585010E-01
